"_primaryKey","_firstSeenAt","_lastSeenAt","listingId","eventId","price","priceWithFees","fee","section","sectionFull","row","quantity","seats","inHandDate","deliveryType","marketplace","dealBucket","dealScore","splitType"
"3q7fNJwZO8v","2026-08-12 23:59:52.524","2026-08-25 22:27:58.080","3q7fNJwZO8v","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","105","Section 105","m",2,"[]","2026-09-29 00:00:00","electronic","exchange",3,"[PREMIUM]","2"
"5EjuZ6A8Nd8","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","5EjuZ6A8Nd8","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","u",8,"[]","2026-09-29 00:00:00","electronic","exchange",5,"[PREMIUM]","1,2,3,4,5,6,7,8"
"6mOhkAR6d8n","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","6mOhkAR6d8n","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","119","Section 119","u",6,"[]","2026-09-30 00:00:00","electronic","exchange",5,"[PREMIUM]","2,4,6"
"8lKt6YqzgOa","2026-08-12 23:59:52.524","2026-08-12 23:59:52.524","8lKt6YqzgOa","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","121","Section 121","q",2,"[]","2026-09-30 00:00:00","electronic","exchange",5,"[PREMIUM]","1,2"
"A6rs27OlY7x","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","A6rs27OlY7x","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","119","Section 119","u",6,"[]","2026-09-30 00:00:00","electronic","exchange",4,"[PREMIUM]","1,2,3,4,5,6"
"BALImXp7qPR","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","BALImXp7qPR","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","108","Section 108","u",4,"[]","2026-09-30 00:00:00","electronic","exchange",5,"[PREMIUM]","2,4"
"DdwHkOjbp75","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","DdwHkOjbp75","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","104","Section 104","c",2,"[]","2026-09-29 00:00:00","electronic","exchange",1,"[PREMIUM]","2"
"NrqUv4933P6","2026-08-12 23:59:52.524","2026-08-12 23:59:52.524","NrqUv4933P6","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","203","Section 203","p",2,"[]","2026-09-30 00:00:00","electronic","exchange",3,"[PREMIUM]","2"
"O7Ahwr6pmdr","2026-08-12 23:59:52.524","2026-08-12 23:59:52.524","O7Ahwr6pmdr","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","209","Section 209","k",2,"['22','23']","2026-09-29 00:00:00","electronic","exchange",0,"[PREMIUM]","2"
"ROXHzw4POxw","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","ROXHzw4POxw","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","u",8,"[]","2026-09-29 00:00:00","electronic","exchange",5,"[PREMIUM]","1,2,3,4,5,6,7,8"
"YgJtk63ME9P","2026-08-12 23:59:52.524","2026-08-15 00:08:11.238","YgJtk63ME9P","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","104","Section 104","s",6,"[]","2026-09-30 00:00:00","electronic","exchange",4,"[PREMIUM]","1,2,3,4,6"
"YgJtk6aBqgE","2026-08-12 23:59:52.524","2026-08-12 23:59:52.524","YgJtk6aBqgE","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","s",7,"[]","2026-09-29 00:00:00","electronic","exchange",5,"[PREMIUM]","1,2,3,4,5,6,7"
"YgJtk6az2bZ","2026-08-12 23:59:52.524","2026-08-25 22:27:58.080","YgJtk6az2bZ","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","103","Section 103","g",2,"[]","2026-09-29 00:00:00","electronic","exchange",2,"[PREMIUM]","2"
"b4wUaGK50rO","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","b4wUaGK50rO","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","107","Section 107","s",2,"[]","2026-09-29 00:00:00","electronic","exchange",1,"[PREMIUM]","2"
"eeacK2oDNJd","2026-08-12 23:59:52.524","2026-08-25 22:27:58.080","eeacK2oDNJd","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","210","Section 210","q",2,"['9','10']","2026-09-28 00:00:00","electronic","exchange",5,"[PREMIUM]","2"
"kYet94vEEwg","2026-08-12 23:59:52.524","2026-08-25 22:27:58.080","kYet94vEEwg","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","106","Section 106","x",2,"[]","2026-09-30 00:00:00","electronic","exchange",2,"[PREMIUM]","2"
"oV7HbEVZ8zo","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","oV7HbEVZ8zo","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","u",8,"[]","2026-09-30 00:00:00","electronic","exchange",5,"[PREMIUM]","1,2,3,4,5,6,8"
"vb3iPeoRozz","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","vb3iPeoRozz","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","u",10,"[]","2026-09-30 00:00:00","electronic","exchange",4,"[PREMIUM]","1,2,3,4,5,6,7,8,9,10"
"vb3iPeoBMxp","2026-08-12 23:59:52.524","2026-08-13 23:01:02.745","vb3iPeoBMxp","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","121","Section 121","q",2,"[]","2026-09-30 00:00:00","electronic","exchange",5,"[PREMIUM]","2"
"vb3iPeo0j36","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","vb3iPeo0j36","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","u",6,"[]","2026-09-30 00:00:00","electronic","exchange",3,"[PREMIUM]","1,2,3,4,5,6"
"w3JsedjV52G","2026-08-12 23:59:52.524","2026-08-19 09:42:16.543","w3JsedjV52G","18372899","[PREMIUM]","[PREMIUM]","[PREMIUM]","108","Section 108","u",4,"[]","2026-09-30 00:00:00","electronic","exchange",4,"[PREMIUM]","1,2,3,4"
"2v0cz3XR523","2026-08-12 23:59:51.265","2026-08-16 22:21:48.153","2v0cz3XR523","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","124","Section 124","3",4,"[]","2026-10-01 00:00:00","electronic","exchange",5,"[PREMIUM]","4"
"2v0cz3Xm85x","2026-08-12 23:59:51.265","2026-08-25 22:28:06.918","2v0cz3Xm85x","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","228","Section 228","9",3,"['7','8','9']","2026-09-29 00:00:00","electronic","exchange",0,"[PREMIUM]","1,3"
"3q7fNJAl3a2","2026-08-12 23:59:51.265","2026-08-25 22:28:06.918","3q7fNJAl3a2","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","M11","Mezzanine 11","4",4,"[]","2026-09-30 00:00:00","electronic","exchange",1,"[PREMIUM]","4"
"3q7fNJAogjv","2026-08-12 23:59:51.265","2026-08-24 22:45:34.990","3q7fNJAogjv","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","124","Section 124","7",4,"['11','12','13','14']","2026-09-29 00:00:00","electronic","exchange",1,"[PREMIUM]","4"
"3q7fNJw7bOo","2026-08-12 23:59:51.265","2026-08-23 22:32:56.462","3q7fNJw7bOo","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","112","Section 112","5",3,"[]","2026-10-01 00:00:00","electronic","exchange",1,"[PREMIUM]","3"
"4vXcj9NvkJV","2026-08-12 23:59:51.265","2026-08-15 22:30:53.013","4vXcj9NvkJV","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","M28","Mezzanine 28","2",5,"[]","2026-10-01 00:00:00","electronic","exchange",1,"[PREMIUM]","1,2,3,4,5"
"5EjuZ6Aj5ZO","2026-08-12 23:59:51.265","2026-08-23 22:32:56.462","5EjuZ6Aj5ZO","18372901","[PREMIUM]","[PREMIUM]","[PREMIUM]","101","Section 101","2",3,"[]","2026-10-01 00:00:00","electronic","exchange",4,"[PREMIUM]","3"
