"_primaryKey","_firstSeenAt","_lastSeenAt","eventId","name","shortName","type","datetimeUtc","endDatetimeUtc","dateTbd","timeTbd","datetimeTbd","status","scheduleStatus","conditional","contingent","isOpen","isVisible","isHybrid","eventScore","popularityScore","url","createdAt","announceDate","visibleAt","visibleUntilUtc","listingCount","ticketCount","averagePrice","lowestPrice","highestPrice","medianPrice","lowestSgBasePrice","venueId","performerIds","taxonomyName","taxonomySubName","ticketmasterId","stubhubId","integratedProvider","integratedProviderId","isMapped","isGa","seatSelectionEnabled"
"17669141","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17669141,"New Orleans Pelicans at Phoenix Suns","Pelicans at Suns","nba","2026-03-07 02:00:00","2026-03-07 03:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/phoenix-suns-tickets/3-6-2026-phoenix-arizona-mortgage-matchup-center/nba/17669141","2025-08-14 19:46:04","2025-08-14 00:00:00","2025-11-24 08:37:16","2026-03-07 03:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",130,"[2111,2116]","sports","basketball","19006307EA45751D","159091190",,,true,false,true
"17669372","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17669372,"Portland Trail Blazers at Houston Rockets","Trail Blazers at Rockets","nba","2026-03-07 01:00:00","2026-03-07 02:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/houston-rockets-tickets/3-6-2026-houston-texas-toyota-center/nba/17669372","2025-08-14 20:18:01","2025-08-14 00:00:00","2026-03-05 13:24:40","2026-03-07 02:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",129,"[2114,2106]","sports","basketball",,"159109262",,,true,false,true
"17669781","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17669781,"Los Angeles Clippers at San Antonio Spurs","Clippers at Spurs","nba","2026-03-07 02:30:00","2026-03-07 03:30:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/san-antonio-spurs-tickets/3-6-2026-san-antonio-texas-frost-bank-center/nba/17669781","2025-08-14 20:31:15","2025-08-14 00:00:00","2025-11-24 08:37:08","2026-03-07 03:30:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",185,"[2117,2109]","sports","basketball","3A00630BDFAC29D0",,,,true,false,true
"17670014","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17670014,"Dallas Mavericks at Boston Celtics","Mavericks at Celtics","nba","2026-03-07 00:00:00","2026-03-07 01:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/boston-celtics-tickets/3-6-2026-boston-massachusetts-td-garden/nba/17670014","2025-08-14 20:32:27","2025-08-14 00:00:00","2026-03-01 09:33:29","2026-03-07 01:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",1544,"[2088,2113]","sports","basketball","0100630DD4D2995B",,,,true,false,true
"17670172","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17670172,"Miami Heat at Charlotte Hornets","Heat at Hornets","nba","2026-03-07 00:00:00","2026-03-07 01:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/charlotte-hornets-tickets/3-6-2026-charlotte-north-carolina-spectrum-center-charlotte/nba/17670172","2025-08-14 20:32:57","2025-08-14 00:00:00","2026-03-01 09:31:48","2026-03-07 01:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",112,"[2099,2100]","sports","basketball","2D0062F9B4F698CA",,,,true,false,true
"17670410","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17670410,"New York Knicks at Denver Nuggets","Knicks at Nuggets","nba","2026-03-07 02:00:00","2026-03-07 03:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/denver-nuggets-tickets/3-6-2026-denver-colorado-ball-arena/nba/17670410","2025-08-14 20:33:41","2025-08-14 00:00:00","2026-03-01 09:32:01","2026-03-07 03:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",187,"[2103,2090]","sports","basketball","1E00630CD51146E5","159088433",,,true,false,true
"17670636","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17670636,"Indiana Pacers at Los Angeles Lakers","Pacers at Lakers","nba","2026-03-07 03:30:00","2026-03-07 04:30:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/los-angeles-lakers-tickets/3-6-2026-los-angeles-california-crypto-com-arena/nba/17670636","2025-08-14 20:40:07","2025-08-14 00:00:00","2025-11-24 08:39:41","2026-03-07 04:30:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",134,"[2110,2096]","sports","basketball","2C006308187F0B18","159098522",,,true,false,true
"17670961","2026-03-06 22:07:21.554","2026-03-06 22:07:21.554",17670961,"Orlando Magic at Minnesota Timberwolves","Magic at Timberwolves","nba","2026-03-07 20:00:00","2026-03-07 21:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/minnesota-timberwolves-tickets/3-7-2026-minneapolis-minnesota-target-center/nba/17670961","2025-08-14 20:51:36","2025-08-14 00:00:00","2026-03-01 09:31:44","2026-03-07 21:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",135,"[2104,2101]","sports","basketball",,"159089140",,,true,false,true
"17627419","2026-03-06 22:06:21.419","2026-03-06 22:06:21.419",17627419,"Colorado Avalanche at Dallas Stars","Avalanche at Stars","nhl","2026-03-07 01:00:00","2026-03-07 02:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/dallas-stars-tickets/3-6-2026-dallas-texas-american-airlines-center/nhl/17627419","2025-07-16 17:12:48","2025-07-16 00:00:00","2026-03-01 09:31:58","2026-03-07 02:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",117,"[2144,2139]","sports","hockey","0C0062EEB9FD1CE1","158620722",,,true,false,true
"17627668","2026-03-06 22:06:21.419","2026-03-06 22:06:21.419",17627668,"New York Rangers at New Jersey Devils","Rangers at Devils","nhl","2026-03-07 20:00:00","2026-03-07 21:00:00",false,false,false,"normal","as_originally_scheduled",false,false,false,true,true,"[PREMIUM]","[PREMIUM]","https://seatgeek.com/new-jersey-devils-tickets/3-7-2026-newark-new-jersey-prudential-center/nhl/17627668","2025-07-16 17:17:40","2025-07-16 00:00:00","2026-03-01 09:34:41","2026-03-07 21:00:00","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]","[PREMIUM]",1500,"[2118,2120]","sports","hockey","020062F0BDCA514C","158570549",,,true,false,true
