"_primaryKey","_firstSeenAt","_lastSeenAt","performerId","name","shortName","type","slug","url","heroImageUrl","bannerImageUrl","score","popularity","homeVenueId","primaryColor","iconicColor","isEvent","divisionName","divisionShortName","taxonomyName","taxonomySubName"
"23","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",23,"Chicago White Sox","White Sox","mlb","chicago-white-sox","https://seatgeek.com/chicago-white-sox-tickets","[PREMIUM]","[PREMIUM]",0.69,293599,3715,"#000000","#000000",false,"American League Central","AL Central","sports","baseball"
"24","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",24,"San Diego Padres","Padres","mlb","san-diego-padres","https://seatgeek.com/san-diego-padres-tickets","[PREMIUM]","[PREMIUM]",0.75,731568,24,"#2F241D","#2F241D",false,"National League West","NL West","sports","baseball"
"25","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",25,"Baltimore Orioles","Orioles","mlb","baltimore-orioles","https://seatgeek.com/baltimore-orioles-tickets","[PREMIUM]","[PREMIUM]",0.72,650908,25,"#000000","#DF4601",false,"American League East","AL East","sports","baseball"
"26","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",26,"Cincinnati Reds","Reds","mlb","cincinnati-reds","https://seatgeek.com/cincinnati-reds-tickets","[PREMIUM]","[PREMIUM]",0.71,650076,26,"#000000","#C6011F",false,"National League Central","NL Central","sports","baseball"
"27","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",27,"St. Louis Cardinals","Cardinals","mlb","st-louis-cardinals","https://seatgeek.com/st-louis-cardinals-tickets","[PREMIUM]","[PREMIUM]",0.71,438094,27,"#BE0A14","#BE0A14",false,"National League Central","NL Central","sports","baseball"
"9","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",9,"Washington Nationals","Nationals","mlb","washington-nationals","https://seatgeek.com/washington-nationals-tickets","[PREMIUM]","[PREMIUM]",0.71,436129,3713,"#AB0003","#AB0003",false,"National League East","NL East","sports","baseball"
"29","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",29,"Miami Marlins","Marlins","mlb","miami-marlins","https://seatgeek.com/miami-marlins-tickets","[PREMIUM]","[PREMIUM]",0.68,282871,6371,"#000000","#00A3E0",false,"National League East","NL East","sports","baseball"
"3","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",3,"New York Mets","Mets","mlb","new-york-mets","https://seatgeek.com/new-york-mets-tickets","[PREMIUM]","[PREMIUM]",0.75,701191,3,"#002D72","#002D72",false,"National League East","NL East","sports","baseball"
"28","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",28,"Los Angeles Angels","Angels","mlb","los-angeles-angels","https://seatgeek.com/los-angeles-angels-tickets","[PREMIUM]","[PREMIUM]",0.69,448376,28,"#BA0021","#BA0021",false,"American League West","AL West","sports","baseball"
"8","2026-03-03 22:16:17.883","2026-03-03 22:16:17.883",8,"New York Yankees","Yankees","mlb","new-york-yankees","https://seatgeek.com/new-york-yankees-tickets","[PREMIUM]","[PREMIUM]",0.77,1557738,8,"#132448","#132448",false,"American League East","AL East","sports","baseball"
